feature,importance
branch_mule_rate_smoothed,613268.2202198118
days_since_kyc,138323.0821844816
branch_mule_count,101597.39400574565
is_frozen,98192.38142780363
branch_mule_rate_raw,91603.12517015934
was_unfrozen,55599.719486773014
account_age_days,17119.360338032246
txn_monthly_txn_cv,13440.803566968441
was_frozen,10490.307442060113
txn_active_months,8478.501929500699
txn_channel_concentration,8396.546687236429
balance_monthly_daily_ratio,8131.773756873607
ch_NTD,8054.343755319715
txn_burst_months,7649.429433870316
ch_ATW,7631.217637088895
days_since_passbook_update,6917.679316672683
txn_monthly_amount_mean,6884.9007737278935
txn_monthly_txn_std,6721.139177909494
branch_asset_size,6432.845319223404
balance_monthly_daily_diff,5997.925552302599
days_since_address_update,5855.761730593443
branch_employee_count,5603.419580262899
branch_turnover,5535.5773434698585
relationship_duration_days,5484.899913224578
ch_STD,5269.128963744641
avg_balance,5111.4140770375725
txn_monthly_amount_std,5073.250743067265
txn_monthly_amount_max,4970.042566472292
ch_FTD,4775.894984671473
txn_monthly_txn_max,4763.678306576609
customer_age_years,4715.661998870969
freeze_duration_days,4587.643986955285
ch_CHQ,4214.467814400792
ch_P2A,4046.120591959357
monthly_avg_balance,3949.8874817281962
branch_total_count,3922.460072296858
ch_TPD,3861.491764086485
ch_RCD,3712.534255155921
ch_IPM,3701.461929947138
ch_END,3616.3681972444056
ch_ETD,3431.9030091434715
sa_sum,3411.41588794291
ch_UPD,3301.0227229774
daily_avg_balance,3269.469537946582
ch_APD,3031.26293118
ch_MAD,2969.126668715477
quarterly_avg_balance,2916.0717255592344
ch_RTD,2710.4039036035538
ch_MAC,2670.739811554551
txn_monthly_txn_min,2632.0759022772313
ch_TPC,2619.8680431455373
ch_OCD,2544.971651017666
days_since_mobile_update,2489.5557718932628
ch_MCR,2462.298707801104
ch_PCA,2385.152323320508
ch_NWD,2176.910053294897
ch_FTC,2168.8558374375107
ch_STC,2128.252593237162
ch_CSD,2084.090461999178
ch_IFD,1974.9468913704156
loan_sum,1953.3817366421222
ch_CTC,1867.563330590725
txn_monthly_txn_mean,1844.7417339801789
ka_sum,1804.7887089252472
ch_OPI,1761.7166534811258
cc_sum,1757.6803686529397
ch_CHD,1701.0926063746215
ch_IFC,1688.7267131716012
ch_ASD,1627.0832086861133
ch_UPC,1541.6073008716107
txn_dominant_channel_count,1528.2018267333508
ch_SID,1392.7146259218455
ch_CCL,1363.6195326536895
total_outstanding,1248.2830944478512
pin_match_branch,1042.035038405657
txn_active_channels,994.9835958093405
ch_IAD,838.4217170506715
digital_adoption_score,761.6699097573758
num_chequebooks,708.6030079603195
ch_SCW,659.2337778806686
od_sum,612.0015986204147
total_product_count,579.6589434832334
kyc_doc_count,529.8317029774189
sa_count,451.65654532313346
rural_branch_num,418.523083114624
loan_count,268.68763293623925
nomination_flag_num,223.7737494766712
branch_type_semi_urban,197.14257835149766
internet_banking_flag_num,176.36330731511117
cheque_availed_num,159.4498345375061
aadhaar_available_num,143.35586292147636
branch_type_rural,129.67289116978645
mobile_banking_flag_num,128.43050470352173
passport_available_num,125.74454527497292
scheme_PMJDY,113.14428789615631
pin_match_permanent,93.10616284608841
atm_card_flag_num,92.76182770729065
scheme_REGULAR,92.06877616047859
scheme_PMJJBY,90.88194144666195
cc_count,90.18864380717278
branch_type_urban,86.96697297692299
pan_available_num,86.30548350811004
joint_account_flag_num,73.48100730776787
is_male,66.86736708879471
scheme_PMSBY,66.1059022963047
kyc_compliant_num,65.35712599754333
demat_flag_num,61.07153811454773
product_family_O,53.24598770141601
fastag_flag_num,46.28250232934952
product_family_K,41.66697412729263
mobile_updated_recently,39.84297432899475
ka_count,35.99366551041603
scheme_APY,33.51651406288147
product_family_S,24.92865844964981
cheque_allowed_num,22.943205547332763
od_count,16.151405638456346
scheme_SSA,13.045053958892822
scheme_SCSS,10.784032136201859
nri_flag_num,10.276646912097931
txn_fan_ratio,7.008510112762451
txn_round_1k_pct,5.349020004272461
txn_add_bal_after_min,5.0505900382995605
has_loans,4.491130542755127
txn_add_lat_max,4.079771995544434
has_credit_cards,3.7882731318473817
txn_night_txn_count,3.4918399810791017
txn_add_geo_spread_km,3.349799919128418
txn_unique_credit_cp,3.3017279624938967
txn_unique_counterparties_part,3.182193946838379
txn_round_10k_pct,2.543320083618164
txn_add_ci_ratio,2.428380012512207
txn_add_ptt_BI_count,2.149139976501465
txn_std_amount,1.8011819839477539
txn_add_geo_lat_spread,1.654994010925293
txn_add_lon_max,1.6342100143432616
txn_round_50k_pct,1.6173240661621093
txn_structuring_pct,1.5295459747314453
txn_add_subtype_NORMAL_count,1.4223879814147948
txn_credit_debit_amount_ratio,1.3678400039672851
txn_add_bal_after_mean,1.2358420372009278
txn_add_ptt_IP_count,0.8045260429382324
txn_max_amount,0.14458500146865844
credit_card_flag_num,0.0
txn_min_amount,0.0
txn_total_abs_amount,0.0
txn_round_1k_count,0.0
txn_max_abs_amount,0.0
txn_month_boundary_count,0.0
txn_weekend_txn_count,0.0
txn_debit_count,0.0
txn_debit_total,0.0
txn_round_5k_count,0.0
txn_round_10k_count,0.0
txn_round_50k_count,0.0
txn_structuring_count,0.0
txn_night_txn_pct,0.0
txn_weekend_txn_pct,0.0
txn_mean_amount,0.0
txn_mean_abs_amount,0.0
txn_unique_debit_cp,0.0
txn_per_day,0.0
txn_round_5k_pct,0.0
txn_month_boundary_pct,0.0
txn_active_span_days,0.0
txn_credit_debit_count_ratio,0.0
txn_unique_mcc_part,0.0
txn_unique_channels_part,0.0
txn_credit_count,0.0
txn_credit_total,0.0
txn_count,0.0
txn_total_amount,0.0
txn_add_ptt_IC_count,0.0
txn_add_ptt_CI_count,0.0
txn_add_bal_after_sum,0.0
txn_add_bal_after_count,0.0
txn_add_bal_after_max,0.0
txn_add_lon_min,0.0
txn_add_geo_txn_count,0.0
txn_add_unique_ip_part,0.0
txn_add_lat_min,0.0
txn_add_geo_lon_spread,0.0
txn_add_subtype_LOAN_count,0.0
txn_add_atm_deposit_count,0.0
txn_add_bal_after_range,0.0
dormant_ratio,0.0
income_mismatch_ratio,0.0
volume_balance_ratio,0.0
